# word | phonetic | pos. | meaning | example | topic
fallible | /'fælәbl/ |  | a. 易错的, 可能犯错的 |  | general
fatuous | /'fætjuәs/ |  | a. 发呆的, 愚笨的 |  | general
steadfast | /'stedfәst/ |  | a. 坚定的, 踏实的, 固定的, 不变的 |  | general
bookshelf | /'bukʃelf/ | n. | 书架 |  | general
tyrannical | /tai'rænikl/ |  | a. 暴虐的, 暴君的, 残暴的 |  | general
ostensible | /ɒs'tensibl/ |  | a. 表面的, 假装的, 看得出的；表面的, 诡称的 |  | general
perpendicular | /.pә:pәn'dikjulә/ | n. | 垂直线, 垂直的位置, 直立(姿势), 刚正；a. 垂直的, 直立的, 陡峭的 |  | general
headstrong | /'hedstrɒŋ/ |  | a. 顽固的, 刚愎的, 任性的 |  | general
migratory | /'maigrәtәri/ |  | a. 迁移的, 流浪的 |  | general
septic | /'septik/ |  | a. 腐败的, 脓毒性的；n. 引起腐败的物质 |  | health
pliable | /'plaiәbl/ |  | a. 易弯的, 柔顺的, 圆通的 |  | general
meteoric | /.mi:ti'ɒrik/ |  | a. 流星的, 疾速的, 大气的 |  | general
paternity | /pә'tә:niti/ | n. | 父亲身份, 父系血统, 创始人(身份), 来；父权, 亲权 |  | general
reverent | /'revәrәnt/ |  | a. 尊敬的, 虔诚的 |  | general
zoology | /zәu'ɒlәdʒi/ | n. | 动物学, 动物区系；动物学 |  | general
sportswear | /'spɒ:tswєә/ | n. | 运动装, 休闲服 |  | general
supersonic | /.sju:pә'sɒnik/ |  | a. 超声波的；超声的 |  | general
horticulture | /.hɒ:ti'kʌltʃә/ | n. | 园艺 |  | general
navigable | /'nævigәbl/ |  | a. 可航行的, 可通船的, 适于航行的；可航行的, 可通航的 |  | general
naught | /nɒ:t/ | n. | 无, 零；a. 无价值的, 无用的 |  | general
congruent | /'kɒŋgruәnt/ |  | a. 适合的, 一致的, 合谐的, 全等的 |  | general
politic | /'pɒlitik/ |  | a. 精明的, 明智的, 策略的 |  | culture
profuse | /prә'fju:s/ |  | a. 很多的, 丰富的, 浪费的, 慷慨的 |  | general
photojournalism | /,fәutәu'dʒә:nәlizm/ | n. | 摄影新闻工作, 摄影报道 |  | work
leprosy | /'leprәsi/ | n. | 麻疯病, 腐败；麻风 |  | health
drowsiness | /'drauzinis/ | n. | 睡意；倦睡, 瞌睡 |  | general
microbiology | /maikrәjbai'ɔlәdʒi/ | n. | 微生物学；微生物学 |  | work
granular | /'grænjulә/ |  | a. 颗粒的, 粒状的；粒状的, 颗粒状的 |  | culture
meteorology | /.mi:tiә'rɒlәdʒi/ | n. | 气象学, 气象状态；气象学 |  | culture
harbor | /'hɑ:bә/ | n. | 港, 避难所；v. 庇护, 藏匿, (使)入港停泊 |  | general
plankton | /'plæŋktәn/ | n. | (总称)浮游生物；浮游生物 |  | work
fahrenheit | /'færәnhait/ |  | a. 华氏温度计的；n. 华氏温度计 |  | general
mucous | /'mju:kәs/ |  | a. 粘液的, 粘的, 粘液性的；粘液的 |  | general
internet | /'intәnet/ |  | 因特网, 国际互连网, 网际网络, 互连网络 |  | technology
unsocial | /'ʌn'sәuʃәl/ |  | a. 非社会的, 厌恶社交的, 不喜交际的 |  | society
ostentation | /.ɒsten'teiʃәn/ | n. | 虚饰, 虚有其表, 卖弄 |  | general
baldness | /'bɒ:ldnis/ | n. | 光秃, 率直, 枯燥；秃, 脱发 |  | general
melodious | /mә'lәudiәs/ |  | a. 旋律美妙的, 旋律优美的, 有乐曲的 |  | general
coeducation | /.kәuedju'keiʃәn/ | n. | 男女同校 |  | education
matrimony | /'mætrimәuni/ | n. | 结婚, 婚姻生活, 婚礼；婚姻, 结婚, 婚礼 |  | general
tranquility | /.træŋ'kwiliti/ | n. | 宁静 |  | society
loth | /lәuθ/ |  | a. 不愿意的, 厌恶的 |  | general
tropic | /'trɒpik/ | n. | 回归线 |  | culture
handball | /'hændbɒ:l/ | n. | 墙手球, 墙手球运动 |  | general
mathematic | /,mæθə'mætik/ |  | 数学的 |  | general
inapt | /in'æpt/ |  | a. 不适当的, 不熟练的 |  | general
importance | /im'pɒ:tәns/ | n. | 重要, 重要性, 重要地位, 自大；重要, 重要性 |  | general
responsible | /ri'spɒnsәbl/ |  | a. 有责任的, 负责的, 责任重大的；应负责任的, 有责任的, 能履行责任的 |  | general
highly | /'haili/ | adv. | 非常, 非常赞许地；大大地 |  | work
slightly | /'slaitli/ | adv. | 些微地, 苗条地 |  | general
peace | /pi:s/ | n. | 和平, 和约, 治安, 和睦, 安宁, 静寂；vi. 安静下来, 不作声 |  | health
hardly | /'hɑ:dli/ | adv. | 刚刚, 几乎不, 勉强是 |  | general
directly | /di'rektli, dai'rektli/ | adv. | 径直地, 直接地, 直率地, 正好地, 直截；conj. 一...(就...), 一当.. |  | general
civil | /'sivәl/ |  | a. 市民的, 公民的, 有礼貌的；公民的, 国民的, 民用的 |  | society
completely | /kәm'pli:tli/ | adv. | 完全地, 十分地, 圆满地 |  | general
normally | /'nɒ:mәli/ | adv. | 正规地, 合规则, 正常地 |  | general
nuclear | /'nju:kliә/ |  | a. 核子的, 原子能的, 核的, 中心的；核的 |  | general
relatively | /'relәtivli/ | adv. | 相对地, 比较地, 相当地, 相关地；相对地 |  | general
slowly | /'slәuli/ | adv. | 慢慢地, 迟缓地 |  | general
latter | /'lætә/ |  | a. 后者的, 较后的, 近来的 |  | general
merely | /'miәli/ | adv. | 只 |  | general
politics | /'pɒlitiks/ | n. | 政治, 政治学, 政见, 政治活动；政治, 政治学, 政纲 |  | society
possibly | /'pɒsәbli/ | adv. | 可能, 也许 |  | general
largely | /'lɑ:dʒli/ | adv. | 大量地, 很多地, 大半地 |  | culture
powerful | /'pauәful/ |  | a. 有力的, 有权力的, 强大的；强力的 |  | general
mainly | /'meinli/ | adv. | 主要地, 大抵 |  | culture
currently | /'kʌrәntli/ | adv. | 现在, 当前, 一般, 普通；当前 |  | general
previously | /'pri:vju:sli/ | adv. | 先, 先前, 以前, 前, (非正式)过早；先前地 |  | general
sexual | /'sekʃuәl/ |  | a. 性的, 性别的；性的 |  | general
extremely | /ik'stri:mli/ | adv. | 极端地, 非常地 |  | general
fairly | /'fєәli/ | adv. | 美观地, 公平地, 相当地, 清楚地 |  | society
excellent | /'ekslәnt/ |  | a. 优良的, 杰出的, 出色的 |  | general
religious | /ri'lidʒәs/ |  | a. 宗教性的, 虔诚的, 宗教上的, 严谨；n. 修道士, 出家人 |  | society
increasingly | /in'kri:siŋli/ | adv. | 逐渐地, 渐增地 |  | general
proper | /'prɒpә/ |  | a. 适当的, 固有的, 高尚的, 专属的；adv. 完全地, 彻底地 |  | general
unable | /ʌn'eibl/ |  | a. 不能的, 不会的；无能力的, 无资格的, 没有办法的 |  | health
surely | /'ʃuәli/ | adv. | 的确地, 安全地；保证, 保证人, 保证金 |  | general
aircraft | /'єәkræft/ | n. | 航空器, 飞机；航空器 |  | general
immediate | /i'mi:diәt/ |  | a. 立即的, 直接的, 接近的；直接的, 立即的 |  | culture
democratic | /.demә'krætik/ |  | a. 民主的；民主的, 民主政体的, 平民的 |  | society
absolutely | /'æbsәlu:tli/ | adv. | 完全地, 绝对地, 确确实实地 |  | general
frequently | /'fri:kwәntli/ | adv. | 频繁, 经常地 |  | general
seriously | /'siәriәsli/ | adv. | 严肃地, 认真地, 严重地 |  | general
properly | /'prɒpәli/ | adv. | 适当地, 相当地 |  | general
partly | /'pɑ:tli/ | adv. | 部分地, 在一定程度上 |  | culture
necessarily | /'nesisәrili/ | adv. | 必然地, 必须地, 必要地 |  | general
violence | /'vaiәlәns/ | n. | 猛烈, 暴力, 暴虐, 暴行；暴行, 暴力, 暴乱 |  | general
widely | /'waidli/ | adv. | 广泛地 |  | general
emphasis | /'emfәsis/ | n. | 强调, 加强, 重点, 强语气 |  | general
careful | /'kєәful/ |  | a. 小心的, 谨慎的 |  | general
capable | /'keipәbl/ |  | a. 有能力的, 能的, 能干的 |  | general
