# word | phonetic | pos. | meaning | example | topic
sumptuously | /'sʌmptʃʊəslɪ/ | adv. | 奢侈地, 豪华地 |  | general
coatrack | /'kәjtræk/ | n. | 衣帽架 |  | general
footrace | /'fjtreis/ | n. | 竞走 |  | general
sentimentally | /ˌsentɪ'mentəlɪ/ | adv. | 富情感地 |  | health
repetitious | /.repi'tiʃәs/ |  | a. 多次反复的, 重复的, 反复性的 |  | general
quickie | /'kwiki/ | n. | 匆匆做成的事；a. 简短的, 迅速的, 突发的 |  | general
retrovirus | /,retrәu'vaiәrәs/ | n. | 逆转录酶病毒( 一种致肿瘤病毒) |  | general
piously |  | adv. | 虔诚地 |  | general
ornately | /ɔ:'neitli/ | adv. | 装饰过分地；词藻华丽地 |  | general
offensively |  | adv. | 冒犯地；讨厌地 |  | general
supernaturally | /ˌsju:pə'nætʃrəlɪ/ | adv. | 超自然地 |  | environment
crackerjack | /'krækәdʒæk/ | n. | <俚>能力极强之人, 极佳之物 |  | general
agreeableness | /ə'griəblnəs/ | n. | 适合；一致 |  | health
lonesome | /'lәunsәm/ |  | a. 寂寞的 |  | general
importunate | /im'pɒ:tjunәt/ |  | a. 强求的, 急切的, 坚持的, 讨厌的 |  | general
illogically |  | adv. | 不合逻辑地 |  | general
dismantlement |  |  | (机器等)拆卸 |  | technology
expeditiously |  | adv. | 迅速(完成), 高效, 效率高, 敏捷, 急 |  | work
serology | /siә'rɒlәdʒi/ | n. | 血清学；血清学 |  | health
devotedly |  | adv. | 忠实地；一心一意地 |  | general
naproxen | /nә'prɔksin/ |  | 萘普生 |  | health
dogsled | /ˈdɒgsled/ |  | 狗拉的雪撬 |  | general
callously | /'kæləsli/ | adv. | 冷酷无情地；麻木不仁地 |  | general
brainless | /'breinlis/ |  | a. 无头脑的, 愚笨的 |  | general
androgynous | /æn'drɒdʒinәs/ |  | a. 雌雄同体的, 雌雄同序的, 两性畸形的；两性畸形的, 雌雄同体的, 男子女化的 |  | general
accursed | /ә'kә:sid/ |  | a. 被咒的, 注定完蛋的, 讨厌的 |  | general
unitive | /'ju:nitiv/ |  | a. 统一的, 联合的, 团结的 |  | general
carbonation | /.kɑ:bә'neiʃәn/ | n. | 二氧化碳饱和, 碳化作用；碳酸化 |  | environment
kingfish | /'kiŋfiʃ/ | n. | 大海鱼, (美)(非正式)首领, 头子 |  | general
wretchedness | /'retʃɪdnəs/ | n. | 可怜, 悲惨 |  | general
glacially |  | adv. | 冰川地 |  | general
unreconstructed | /'ʌn,ri:kәn'strʌktid/ |  | a. 未重建的, 反对变革的, 脑筋转不过来 |  | general
loveseat | /'lʌvsi:t/ | n. | 双人座沙发 |  | general
insanely |  | adv. | 精神错乱地, 疯狂地, 极其愚蠢地, 脱离实 |  | health
herringbone | /'heriŋbәun/ | n. | 鲱鱼鱼骨, 交叉缝式, 人字形；a. 人字形的 |  | general
dexamethasone | /,deksә'meθәzәjn/ |  | 地塞米松；地塞米松, 氟甲强的松龙, 9α-氟-16α |  | health
velociraptor | /vəˌlɒsɪˈræptə(r)/ | n. | 迅猛龙（二足、肉食性的有羽毛恐龙, 能高速奔；速龙 |  | general
phosphoric | /fɔs'fɔrik/ |  | a. 磷的, 含磷的；磷的 |  | general
buffoonery | /bә'fu:nәri/ | n. | 打诨, 滑稽 |  | general
disconsolately | /dɪs'kɒnsələtlɪ/ | adv. | 悲伤地, 愁闷地；哭丧着脸 |  | general
disconsolate | /dis'kɒnsәlit/ |  | a. 郁郁不乐的 |  | general
crispness | /krɪspnəs/ | n. | 易碎, 精神愉快 |  | health
comparably | /'kɒmpәrәbli/ | adv. | 可比较地, 同等地 |  | general
authentication | /ɒ:θenti'keiʃәn/ | n. | 证明可信, 证实为真, 使具法律效力；验证 |  | economy
jowly | /'dʒajli/ |  | a. 下颚宽厚的, 有双下巴的 |  | general
anabolic | /.ænә'bɒlik/ |  | a. 合成代谢的；组成代谢的, 同化的 |  | general
yokohama | /'jәukә'hɑ:mә/ | n. | 横滨（日本一城市名） |  | society
picayune | /.pikә'ju:n/ | n. | 小钱币, 五分钱币, 微不足道的事物, 无足；a. 微不足道的, 不值钱的, 琐细的, 眼 |  | general
insecticidal | /in,sekti'saidәl/ |  | a. 杀虫的, 杀虫剂的 |  | general
uncollected | /'ʌnkә'lektid/ |  | 不安的, 狼狈的, 未收集的 |  | general
reportable | /ri'pɒ:tәbl/ |  | a. 可报告的, 值得报告的 |  | economy
malleus | /'mæliәs/ | n. | 锤骨；锤骨, 鼻疽 |  | general
retractable | /ri'træktәbl/ |  | a. 可缩回的, 伸缩自如的, 可取消的 |  | general
tenderfoot | /'tendәfut/ | n. | 新来者, 新手, 生手, 无经验者 |  | general
multidimensional | /.mʌltidi'menʃәnl/ |  | a. 多面的, 多维的 |  | general
atherosclerotic |  |  | a. 动脉粥样硬化 |  | general
mistreatment |  | n. | 虐待 |  | general
hibiscus | /hai'biskәs/ | n. | 木槿 |  | general
bombproof | /'bɒmpru:f/ |  | a. 防弹的, 避弹的 |  | general
eastbound | /'i:stbaund/ |  | a. 往东的, 向东旅行的 |  | general
discreditable | /dis'kreditәbl/ |  | a. 有损信用的, 不名誉的, 丢脸的 |  | general
fountainhead | /'fauntinhed/ | n. | 水源, 源, 本源 |  | general
wingback | /'wiŋbæk/ | n. | 助攻边卫 |  | general
nonuniform | /'nɔn'ju:nifɔ:m/ |  | a. 不一致的, 不均匀的, 不统一的；不均匀 |  | general
keyless | /'ki:lis/ |  | a. 无键的, 不用钥匙上发条的 |  | general
archduke | /'ɑ:tʃ'dju:k/ | n. | 大公 |  | general
unequipped | /'ʌni'kwipt/ |  | a. 无准备的；无配备的 |  | general
unmediated | /ʌn'mi:dieitid/ |  | a. 无中介的,未经调停的 |  | general
traitorous | /'treitәrәs/ |  | a. 叛逆的, 不忠的, 背信弃义的；叛逆的, 背叛的, 不忠的 |  | general
aflatoxin | /,æflә'tɔksin/ |  | 黄曲霉毒素 |  | general
iconoclasm | /ai'kɒnәklæzm/ | n. | 破坏偶像, 破坏偶像主义, 打破旧习 |  | general
femaleness | /'fi:meɪlnes/ |  | 女性特征, 女性特征女子本性 |  | general
compulsively |  | adv. | 强制地, 强迫地 |  | general
commercialization |  |  | 商业化 |  | economy
sistine | /'sistain, 'sisti:n/ |  | a. 罗马教宗西克斯图斯的 |  | general
psoriasis | /psɔ(:)'raiәsis/ | n. | 牛皮癣；牛皮癣, 银屑病 |  | health
ineffectually | /ˌɪnɪ'fektʃʊəlɪ/ | adv. | 无效地, 无益地 |  | general
mitral | /'maitrәl/ |  | a. 二尖瓣的, 僧帽状的；僧帽状的, 僧帽瓣的, 二尖瓣的 |  | general
easygoing | /'i:zigәuiŋ/ |  | a. 脾气随和的, 逍遥自在的, 悠闲的 |  | general
communicable | /kә'mju:nikәbl/ |  | a. 可传达的, 会传染的, 爱说话的；有传染性的 |  | general
schtick | /ʃtik/ | n. | 滑稽场面, 特色 |  | economy
keratin | /'kerәtin/ | n. | 角蛋白；角蛋白 |  | general
coco | /'kәukәu/ | n. | 椰子树, 椰子；斐济群岛类雅司病 |  | general
colostrum | /kә'lɒstrәm/ | n. | 初乳；初乳 |  | culture
yeomanry | /'jәumәnri/ | n. | 自由民, 自耕农 |  | work
closeout | /ˈkləʊzaʊt/ | n. | 出清存货, 出清存货 |  | general
ethyl | /'eθil, 'i:θail/ |  | 乙基；乙基 |  | environment
schmaltzy | /'ʃmæltsi,'ʃmɑːltsi/ |  | a. （歌曲、电影或书籍）过分感伤的, 煽情 |  | culture
duffel | /'dʌfәl/ | n. | 粗呢, 露营用具 |  | general
computerization | /kәm,pju:tәrai'zeiʃәn; -ri'z-/ | n. | 给...装备电子计算机, 用计算机控制, (；计算机化 |  | technology
pastis | /pɑ:s'ti:s/ | n. | 法国茴香酒(一种烈性甜酒) |  | general
fixable | /'fiksәbl/ |  | a. 可固定的 |  | general
biosafety | /,baiәj'seifti/ | n. | 生物研究安全性 |  | general
legalisation | /ˌli:gəlaɪ'zeɪʃən/ | n. | 合法化, 法律上认可 |  | society
geologically | /ˌdʒi:ə'lɒdʒɪklɪ/ | adv. | 从地质上来说 |  | general
synergistically | /-kli/ |  | 协同地, 协同作用地, 以协同方式 |  | health
desiccation | /.desi'keiʃәn/ | n. | 干燥；干燥 |  | general
nonverbally |  | adv. | 非动词（形式）地 |  | general
chenille | /ʃә'ni:l/ | n. | 绳绒线, 绳绒线织物, 假绳绒线, 假绳绒线 |  | general
elopement | /i'lәupmәnt/ | n. | 潜逃, 私奔；私奔, 逃亡, 出走 |  | general
bookable | /'bjkәbl/ |  | a. 可预定的, 可预约的, 可预购的 |  | general
astral | /'æstrәl/ |  | a. 星的, 多星的, 灵魂的；星体的 |  | general
porterhouse | /'pɔ:tәhajs/ | n. | 小饭馆 |  | general
brazenness |  | n. | 厚颜无耻, (喻)猖狂 |  | general
kasha | /'kɑ:ʃә/ | n. | 荞麦粥, 麦粥, 麦糊 |  | general
mujahedin | /ˌmu:dʒəhəˈdi:n/ | n. | （尤指中东的）穆斯林游击队员 |  | general
anatomically |  | adv. | 解剖, 结构上, 解剖学上 |  | general
purslane | /'pә:slin/ | n. | 马齿苋 |  | general
ischial | /'iskiәl/ |  | a. 坐骨的 |  | general
subtropical | /sʌb'trɒpikl/ |  | a. 亚热带的；亚热带的 |  | general
alphabetic | /.ælfә'betik/ |  | a. 按字母次序的, 字母的 |  | general
demobilisation | /'di:,məu-bilai'zeiʃən, -li'z-/ | n. | 出场, 遣散 |  | general
multivalent | /.mʌlti'veilәnt/ |  | a. 多原子价的, 多价的, 有多种意义的；多价的 |  | general
catechin | /'kætitʃin, -kin/ |  | 儿茶素；儿茶素, 儿茶酸 |  | general
gyroplane | /'dʒairәplein/ | n. | 自动旋翼机 |  | technology
backgrounder | /'bæk,^rajndә(r)/ | n. | 政府官员举行的记者招待会 |  | society
unmixed | /.ʌn'mikst/ |  | a. 未混杂他物的, 纯粹的 |  | general
catbird | /'kætbә:d/ | n. | 北美猫鸟 |  | general
tole | /tәul/ | n. | 马口铁, 金属薄片 |  | work
unfetter | /.ʌn'fetә/ | v. | 给...解开脚链, 释放, 使自由；除去...脚镣, 释放 |  | general
topicality | /tɔpi'kæliti/ | n. | 时事性, 时事性话题 |  | general
strictness | /'stiktnis/ | n. | 严格, 严密, 严重 |  | general
picky | /'piki/ |  | a. 吹毛求疵的, 挑剔的, 找麻烦的 |  | general
matronly | /'meitrәnli/ |  | a. 象主妇的, 有威严的, 稳重的 |  | general
irreparably | /i'repәrәbli/ | adv. | 不能挽回地, 不能恢复地 |  | general
deviousness | /'di:viəsnis/ | n. | 迂回；曲折 |  | general
venality | /vi:'nælәti/ | n. | 唯利是图, 以权谋私, 甘受贿赂；贪污, 唯利是图, 甘受贿赂 |  | general
seasickness | /'si:,siknis/ |  | 晕船 |  | general
pointlessness | /'pɔɪntləsnəs/ | n. | 无意义, 空洞 |  | general
pitiable | /'pitiәbl/ |  | a. 引人怜悯的, 可怜而又可鄙的, 可怜的 |  | general
mishmash | /'miʃmæʃ/ | n. | 混杂物 |  | general
senselessness |  |  | 无知觉；无意义 |  | general
irresponsibly | /,iri'spɔnsəbli/ | adv. | 不负责任地 |  | general
dystopian | /dis'tәjpiәn/ |  | a. 反面乌托邦的,反面假想国的；n. 反面乌托邦的鼓吹者(或描写者) |  | general
relaxer |  | n. | 松弛机；放松者 |  | general
gayness | /ˈgeɪnəs/ | n. | 欢乐, （尤指）同性恋 |  | general
thornless |  |  | a. 无刺的 |  | general
immunosuppression | /,imjunәusә'preʃәn/ | n. | 免疫抑制 |  | health
catastrophically |  |  | 灾难性地 |  | general
transcendentalism |  | n. | 先验论 |  | general
blotchy | /'blɒtʃi/ |  | a. 到处有污点的 |  | general
worldliness | /'wә:ldlinis/ | n. | 俗心, 俗气 |  | general
muumuu | /'mu:mu:/ | n. | 穆穆袍(夏威夷妇女宽大长袍) |  | general
unplayable | /'ʌn'pleiәbl/ |  | a. 无法用乐器演奏的 |  | general
precook | /pri:'kuk/ | v. | 预煮 |  | general
unpatriotic | /'ʌn.peitri'ɒtik/ |  | a. 不爱国的, 无爱国心的 |  | general
belowground |  |  | 地面以下 |  | general
uninviting | /'ʌnin'vaitiŋ/ |  | a. 无吸引力的, 讨厌的, 不逗人兴趣的 |  | general
unformed | /.ʌn'fɒ:md/ |  | a. 未成形的, 无定型的, 未充分发展的 |  | work
unexpressed | /'ʌniks'prest/ |  | a. 不明说的, 未表达的 |  | general
uncongenial | /ˌʌnkənˈdʒi:niəl/ |  | a. 志趣不相投的；忤 |  | general
ossicular | /ɔ'sikjulə/ |  | 小骨的 |  | general
til | /til/ | n. | 芝麻 |  | general
therewith | /.ðєә'wið/ | adv. | 随即, 与此, 此外 |  | general
habitability | /,hæbitә'bilәti/ | n. | 可居住性, 适于居住 |  | general
thighbone | /'θaibәun/ | n. | 大腿骨, 股骨 |  | general
shabbiness | /'ʃæbinis/ | n. | 衣衫褴褛, 吝啬, 卑鄙 |  | general
safekeeping | /'seif'ki:piŋ/ | n. | 保护, 保管；安全保管 |  | general
tittle | /'titl/ | n. | 小符号, 微量, 一点点, 小点 |  | general
penciled |  |  | a. 用铅笔写的, 用画笔画的, 有彩色细纹 |  | general
roomie | /'ru:mi/ | n. | 住在同室的人 |  | general
