# word | phonetic | pos. | meaning | example | topic
groomsman | /'gru:mzmәn/ | n. | 男傧相 |  | general
neutrally | /'nju:trәli/ | adv. | 中立, 保持中立 |  | culture
snit | /snit/ | n. | 发怒, 焦急状态, 心情紧张(或紊乱) |  | general
lecherous | /'letʃәrәs/ |  | a. 好色的, 引起淫欲的, 纵欲的, 淫荡 |  | general
arteriosclerosis | /ɑ:,tiәriәu,skliә'rәusis/ | n. | 动脉硬化；动脉硬化 |  | culture
kingly | /'kiŋli/ |  | a. 国王的, 高贵的, 威严的；王的, 国王的, 适于君王的 |  | general
incompletely | /.inkәm'pli:tli/ | adv. | 不完全地 |  | general
homogenous | /hә'mɔdʒinәs/ |  | a. 同质的, 相似的；同源的, 纯系的, 同质的 |  | general
warfarin | /'wɔ:fәrin/ |  | 杀鼠灵 |  | economy
godless | /'gɒdlis/ |  | a. 不信神的, 无神论者的, 罪恶的, 邪 |  | general
alchemical |  |  | 炼丹的 |  | general
yule | /ju:l/ | n. | (基督教)圣诞节, 圣诞节期 |  | general
flavorless | /'fleɪvəlɪs/ |  | a. <美>无味的, 无滋味的 |  | general
receptivity | /.ri:sep'tiviti/ | n. | 感受性, 接受能力 |  | general
cryptographic | /kriptә'græfik/ |  | a. 关于暗号的, 用密码写的 |  | general
brontosaurus | /.brɒntә'sɒ:rәs/ | n. | 雷龙(古生物) |  | general
avian | /'eiviәn/ |  | a. 鸟类的；n. 鸟 |  | general
archdiocesan | /,ɑ:tʃdai'ɔsisən/ |  | a. archdiocese的变形 |  | general
homestretch | /'hәumstretʃ/ | n. | (比赛)决胜跑道 |  | general
mako | /'mɑ:kәu/ |  | 灰鲭鲨 |  | general
brownian | /'brajniәn/ |  | a. 苏格兰的植物学家Robert Brow |  | general
sinfulness | /'sinfəlnis/ | n. | 有罪；作恶多端 |  | general
ratty | /'ræti/ |  | a. 像老鼠的, 鼠臭的, 破烂的, 易怒的 |  | general
uncertified |  |  | 未经证明的, 无证明书的 |  | general
whereof | /hwєәr'ɒv/ | adv. | 关于什么, 关于那事 |  | general
bubonic | /bju:'bɔnik/ |  | 腹股沟淋巴结炎的 |  | general
biz | /biz/ |  | biz机构 |  | work
propane | /'prәupein/ | n. | 丙烷；丙烷 |  | general
pinochle | /'pi:nʌkl, -nɔ-/ | n. | 一种纸牌游戏 |  | general
marginalia | /.mɑ:dʒi'neiljә/ |  | pl. 旁注, 次要项目 |  | general
frictional | /'frikʃәnәl/ |  | a. 摩擦的, 由摩擦而生的；磨擦力, 磨擦上的 |  | general
infallibility | /in,fælә'biliti/ | n. | 绝无错误, 绝对可靠性 |  | general
blueness | /'blu:nis/ | n. | 蓝, 沮丧, 忧郁 |  | general
splintery | /'splintәri/ |  | a. 破片的, 裂片一般的, 容易裂开的 |  | general
transgendered | /trænsˈdʒendəd/ |  | a. 变换性别的 |  | culture
neurobiological | /,njuərəu,baiə'lɔdʒikəl/ |  | a. 神经生物学的 |  | general
profligacy | /'prɒfligәsi/ | n. | 放荡, 不检点, 浪费 |  | general
striver |  | n. | 奋斗者 |  | general
monopolization | /mә.nɒpәlai'zeiʃәn/ | n. | 独占, 专卖；专利, 垄断 |  | economy
zealously |  | adv. | (正式)热心, 渴望, 积极, 热诚, 热情 |  | general
vocally | /'vәukli/ | adv. | 用声音, 用口头 |  | general
anesthetist | /æ'ni:sθәtist/ | n. | 麻醉师；麻醉师 |  | general
unfaithfulness | /ʌn'feiθfəlnis/ | n. | 不忠实；不信守婚誓 |  | general
rocketry | /'rɒkәtri/ | n. | 火箭研究 |  | technology
revelatory | /'revәlәtәri/ |  | a. 揭示性的, 启示性的, 启示的 |  | general
intervenor | /,intә'vi:nә(r)/ | n. | 干涉者, 介入者, 调停者 |  | society
redaction | /ri'dækʃәn/ | n. | 编辑, 校订本, 修订 |  | general
