# word | phonetic | pos. | meaning | example | topic
shortsighted | /'ʃɒ:t'saitid/ |  | a. 近视的, 目光短浅的, 缺乏想像力的 |  | general
shamefully |  | adv. | 不体面地；可耻地 |  | general
dharma | /'dɑ:mә/ | n. | (佛教中的)达摩, (佛教)法, (印度教) |  | general
legless | /ˈlegləs/ |  | a. 无腿的 |  | general
homeward | /'hәumwәd/ |  | a. 在归途上的, 向家的；adv. 在归途上, 向家地 |  | general
figuratively |  | adv. | 象征性地；比喻地 |  | general
explosively |  | adv. | 爆发地, 引起爆炸地 |  | general
evermore | /.evә'mɒ:/ | adv. | 永远, 经常, 从此以后 |  | general
dishonourable |  |  | a. 不名誉的, 无耻的, 耻辱的, 不光彩 |  | general
exfoliation | /eks,fәjli'eiʃәn/ | n. | 剥落, 剥落物；表皮脱落, 鳞片样脱皮, 表皮剥脱 |  | general
tolerably | /'tɒlәrәbli/ | adv. | 可容忍地, 差不多地, 相当地 |  | general
shrewdness | /ʃru:dnəs/ |  | 机灵 |  | economy
photogenic | /,fәutәu'dʒenik/ |  | a. 发光的, 由于光而产生的, 适宜于拍照；光所致的, 光原性的, 发光的 |  | general
movingly |  | adv. | 感人地, 动人地 |  | general
bleakness | /'bliknɪs/ |  | 缺少颜色、缺少植被、缺少友爱的性质和状态 |  | general
ahem | /ә'hem/ |  | interj. 呃哼 |  | general
glibly | /'glibli/ | adv. | 流利地, 流畅地 |  | general
charitably | /'tʃærətəblɪ/ | adv. | 慷慨地, 慈善地 |  | general
nonaggression | /.nɒnә'greʃәn/ | n. | 不侵略 |  | society
unalterable | /ʌn'ɒ:ltәrәbl/ |  | a. 不能改变的, 不变的, 固定不移的；不变的, 不能改变的 |  | general
triumvirate | /trai'ʌmvireit/ | n. | 三执政, 三头统治, 三人执政之职 |  | general
reverential | /.revә'renʃәl/ |  | a. 虔诚的, 表示尊敬的, 充满崇敬心的 |  | general
reclusive | /ri'klu:siv/ |  | a. 隐遁的, 隐居的 |  | society
purview | /'pә:vju:/ | n. | 范围, 权限, 视界；权限, 职权范围, 范围 |  | general
firmament | /'fә:mәmәnt/ | n. | 天空, 苍天 |  | general
fearlessly | /'fɪələslɪ/ | adv. | 无畏地, 大胆地 |  | general
cottonmouth | /'kɔtәn.mauθ/ | n. | 棉口蛇；水腹蛇 |  | general
fantastical | /fæn'tæstikәl/ |  | a. 空想的；捕风捉影的 |  | general
excruciatingly | /ɪk'skru:ʃɪeɪtɪŋlɪ/ | adv. | 极痛苦地, 难忍受的 |  | general
awfulness | /'ɒ:fulnis/ | n. | 庄严, 可怕, 虔敬 |  | general
unimpaired | /'ʌnim'peәd/ |  | a. 未受损伤的, 没有削弱的, 没有减少的；未受损害的, 未减弱的, 未减少的 |  | general
carney | /'kɑ:ni/ | v. | 哄骗；n. 哄骗的话 |  | health
tapenade |  |  | 特芙娜（服装公司名, Tapenade）；橄榄酱 |  | economy
incompleteness |  |  | 不完全性 |  | general
distrustful | /dis'trʌstful/ |  | a. 不信任的, 怀疑的, 可疑的 |  | general
daybreak | /'deibreik/ | n. | 黎明 |  | general
polygynous | /pә'lidʒinәs/ |  | a. 一夫多妻的, 多花柱的 |  | general
cheerless | /'tʃiәlis/ |  | a. 不愉快的 |  | general
hematite | /'hemәtait/ | n. | 赤铁矿；赤铁矿 |  | culture
unrealistically | /,ʌnriə'listikli/ | adv. | 不切实际地；不现实地 |  | general
tuneful | /'tju:nful/ |  | a. 和谐的, 音调优美的 |  | culture
irrationally | /ɪ'ræʃnəlɪ/ | adv. | 不合理地, 无理性地 |  | general
vermilion | /vә'miljәn/ | n. | 朱红, 朱砂, 朱红色；a. 朱红的, 鲜红色的 |  | general
irreversibly | /ˌɪrɪ'vɜ:səblɪ/ | adv. | 不可更改地, 不可挽回地, 不可反转地 |  | general
enviously | /'enviәsli/ | adv. | 羡慕地 |  | general
rawboned | /'rɒ:bәund/ |  | a. 瘦削的, 骨瘦如柴的 |  | general
inelegant | /in'eligәnt/ | n. | 不优美, 不雅, 粗野 |  | general
unsuitability | /'ʌn.sju:tә'biliti/ | n. | 不适当, 不相称, 不适合 |  | general
unselfconscious | /ʌnself'kɔnʃәs/ |  | a. 自然的, 不装腔作势的 |  | environment
unpunished | /.ʌn'pʌniʃt/ |  | a. 不受处罚的, 免去刑法的；未受处罚的 |  | general
quaintly |  | adv. | 离奇地, 灵巧地 |  | general
inconsiderate | /.inkәn'sidәrәt/ |  | a. 不顾别人的, 轻率的 |  | general
brownout | /'braunaut/ | n. | 部分灯火管制, 部分停电；电压降低 |  | general
bottlenose | /'bɔtlnәjz/ | n. | 宽吻海豚 |  | general
bountiful | /'bauntiful/ |  | a. 慷慨的, 宽大的 |  | general
workaday | /'wә:kәdei/ |  | a. 工作日的, 平常日子的, 普通的；工作日的, 日常的, 普通的 |  | education
unremarked | /'ʌnri'mɑ:kt/ |  | a. 未被注意的, 不受注意的 |  | general
unfamiliarity |  | n. | 陌生 |  | general
unexploded | /,ʌnik'splәjdid, -ek-/ |  | a. 未爆炸的,未发射的,装着炸药的 |  | general
touchingly | /'tʌtʃɪŋlɪ/ | adv. | 令人同情地, 感人地, 动人地 |  | general
autoloader | /'ɔ:tәu,lәudә/ |  | 软盘自动异控器 |  | technology
monism | /'mɒnizm/ | n. | 一元论；一元论 |  | general
nonresidential | /'nɔn,rezi'denʃәl/ |  | a. 非居住的,非住宅的 |  | general
moodiness |  | n. | 忧郁, 喜怒无常, 不快 |  | health
bluebonnet | /'blu:bɒnit/ | n. | 矢车菊, 蓝色扁平帽, 苏格兰人 |  | general
joyously |  | adv. | 快乐地 |  | general
inedible | /in'edibl/ |  | a. 不适于食用的 |  | general
heroically | /hə'rəʊɪklɪ/ | adv. | 英雄地；超人地 |  | general
luau | /lu:'au, 'lu:au/ | n. | (常伴有文娱节目的)夏威夷式宴会,卢奥(用嫩 |  | work
stylization |  | n. | 风格上的仿效, 因袭 |  | culture
gallantly | /'gælәntli/ | adv. | 漂亮地, 勇敢地, 献殷勤地 |  | general
tartness | /'tɑ:tnis/ | n. | 酸, 尖刻 |  | general
nonmaterial | /'nɔnmә'tiәriәl/ |  | a. 非物质的, 文化的 |  | culture
fakery | /-kәri/ | n. | 伪造, 赝品, 假货, 伪装, 捏造；伪造, 捏造, 伪装 |  | general
earnestness |  | n. | 认真；诚挚 |  | general
dejection | /di'dʒekʃәn/ | n. | 沮丧, 粪便；排泄物, 粪便, 排粪, 沮丧 |  | general
cryptically | /'kriptikəli/ | adv. | 隐秘地；意义含糊地 |  | general
nitrification | /.naitrifi'keiʃәn/ | n. | 氮化合, 氮饱和, 硝化作用；硝酸化作用 |  | general
reparative | /'repәrәtiv/ |  | a. 修缮的, 修复的, 赔偿的, 弥补的 |  | general
smugness |  | n. | 矫矜；装模做样 |  | general
senility | /si'niliti/ | n. | 高龄, 老迈, 老态龙钟；衰老, 老年 |  | general
pyramidal | /pi'ræmidl/ |  | a. 金字塔形的, 角锥状的, 锥体的；n. 三角骨 |  | general
chirpy | /'tʃә:pi/ |  | a. 喳喳叫的, 快活的, 活泼的 |  | general
fraternization | /.frætәnai'zeiʃәn/ | n. | 结有深交, 友善 |  | general
geosynchronous | /,dʒi:әj'siŋkrәnәs/ |  | 对地同步的 |  | culture
weenie | /'wi:ni/ |  | a. 微小的, 细小的 |  | general
cosiness | /'kəʊzɪnəs/ | n. | 舒适, 安逸 |  | general
enculturation | /in,kʌltʃә'reiʃən/ | n. | 对某种文化的适应 |  | culture
unsociable | /.ʌn'sәuʃәbl/ |  | a. 不爱交际的, 不与人亲近的, 不合群的 |  | society
ungenerous | /'ʌn'dʒenәrәs/ |  | a. 胸襟狭窄的, 不大方的, 吝啬的 |  | general
uncultivated | /.ʌn'kʌltiveitid/ |  | a. 未经耕作的, 不文明的, 无教养的 |  | general
paschal | /'pæskәl/ |  | a. 逾越节的, 复活节的 |  | general
bluntness | /'blʌntnis/ | n. | 钝, 率直, 迟钝 |  | general
vividness | /'vɪvɪdnəs/ | n. | （色彩、光线等）鲜艳；活泼 |  | general
industriousness | /ɪn'dʌstrɪəsnɪs/ | n. | 勤奋 |  | general
uncompleted |  |  | 未完成的 |  | general
tellingly | /'teliŋli/ | adv. | 有效地；显著地 |  | general
rubdown | /'rʌbdaun/ | n. | 摩擦身体, 按摩 |  | general
selfishly | /'selfiʃli/ | adv. | 自私地, 自我中心地, 任性地 |  | general
roughshod | /'rʌfʃɒd/ |  | a. 马蹄上装有防滑钉的 |  | general
controllability |  |  | 可控制性；可控性 |  | general
sphenoid | /'sfi:nɒid/ |  | a. 楔形的；n. 半面晶形, 蝶骨 |  | general
kola | /'kәulә/ |  | 可乐果；可乐果属 |  | general
extragalactic | /,ekstrә^ә'læktik/ |  | a. (位于或来自于)银河系外的 |  | general
pageantry | /'pædʒәntri/ | n. | 壮观, 华丽, 虚饰, 露天历史剧 |  | economy
unmindful | /.ʌn'maindful/ |  | a. 不留心的, 不注意的, 漫不经心的 |  | general
downtrodden | /'dajntrɔd(ә)n/ |  | a. 被蹂躏的, 受压制的 |  | general
retinitis | /.reti'naitis/ | n. | 视网膜炎；视网膜炎 |  | general
cohosh | /'kәjhɔʃ/ |  | 升麻类药草(指多种毛莨科植物) |  | general
decisiveness | /dɪˈsaɪsɪvnəs/ |  | 果断性 |  | general
atavistic | /.ætә'vistik/ |  | a. 隔代遗传的；返祖性的, 隔代重现的 |  | general
trapezoidal | /,træpi'zɔidәl/ |  | 梯形的 |  | general
ambiguously |  | adv. | 含糊不清地 |  | general
unhesitatingly | /ʌn'hezɪteɪtɪŋlɪ/ | adv. | 不踌躇地, 坚定地, 迅速地；爽爽快快 |  | general
unerring | /.ʌn'ә:riŋ/ |  | a. 不犯错误的, 无过失的, 没有打歪的；无过失的, 无错误的, 正确的 |  | general
mensch | /mentʃ/ | n. | 公正的人；受尊敬的人 |  | general
robustly | /rəʊ'bʌstlɪ/ | adv. | 要用体力地, 粗鲁地 |  | general
repeatable | /ri'pi: tәbl/ |  | 可重复的 |  | general
peaceably | /'pi:səblɪ/ | adv. | 息事宁人地；和平地, 温和地 |  | general
trapezius | /trә'pi:ziәs,træ-/ |  | 斜方肌 |  | general
palpably |  | adv. | 摸得出, 可触知, 明显可知, 容易感觉到 |  | general
ototoxic | /,әjtә'tɔksik/ |  | 耳中毒性的 |  | general
ergo | /'ә:^әu/ | adv. | 所以, 因此 |  | general
enigmatically | /ˌenɪɡ'mætɪklɪ/ | adv. | 莫名其妙地, 难以理解地 |  | general
complexly |  |  | 复合地；合成地 |  | general
dependably | /di'pendәbli/ | adv. | 可信任地 |  | general
cosily | /'kәuzili/ | adv. | 舒适地, 惬意地 |  | general
calamitous | /kә'læmitәs/ |  | a. 灾难性的, 不幸的 |  | general
damar | /'dæmә/ |  | 达玛树脂；达玛脂 |  | general
underweight | /'ʌndәweit/ | n. | 重量不足；a. 重量不足的 |  | general
underbelly | /'ʌndә.beli/ | n. | 下腹部, 薄弱部分 |  | general
thoughtlessly | /'θɔ:tləslɪ/ | adv. | 草率地, 不体贴地；混 |  | general
ignominiously | /ˌɪɡnə'mɪnɪəslɪ/ | adv. | 耻辱地, 屈辱地, 丢脸地 |  | general
flirtatious | /flә:'teiʃәs/ |  | a. 爱调戏的, 轻浮的 |  | general
diversionary | /dai'vә:ʒәnәri/ |  | a. 转换注意力的, 牵制的 |  | general
homelike | /'hәumlaik/ |  | a. 在自己家似的, 舒适的, 自在的 |  | general
resorption | /ri'sɔ:pʃәn/ | n. | 再吸收, 再吞, 吸回作用, 再吸收作用；回吸 |  | general
understaffed | /.ʌndә'stæft/ |  | a. 人员不足的, 人手不足的 |  | general
glorification | /.glɒ:rifi'keiʃәn/ | n. | 美化了的东西 |  | general
ethmoid | /'eθmɒid/ |  | a. 筛骨的；n. 筛骨 |  | culture
reusable | /ri:'ju:zәbl/ |  | a. 可以再度使用的；可重复使用的 |  | general
overmuch | /'әuvә'mʌtʃ/ |  | a. 过多的, 过度的；adv. 过度地 |  | general
insidiously |  | adv. | 阴险, 狡诈, (疾病)不知不觉之间加剧 |  | health
penetrator | /'penitreitә/ | n. | 穿入者, 侵入者, 渗透者；过烧 |  | general
inauspicious | /i.nɒ:'spiʃәs/ |  | a. 不吉的, 凶兆的, 恶运的 |  | general
unpredictably | /ˌʌnprɪˈdɪktəblɪ/ | adv. | 无法预言地）；不可预见地（不能预料地 |  | general
dishrag | /'diʃræ^/ | n. | 洗碟布 |  | general
unmolested | /'ʌnmәu'lestid/ |  | a. 不受烦扰的, 不受干涉的, 平平安安的 |  | general
unflinching | /.ʌn'flintʃiŋ/ |  | a. 不畏惧的, 不退缩的, 不畏缩的 |  | general
