# word | phonetic | pos. | meaning | example | topic
rehabilitative | /.ri:hә'biliteitiv/ |  | a. 使复原的, 复职的 |  | general
srs |  | abbr. | 美国科学研究学会（Scientific Re；英国皇家学会会员（Societatis Re |  | general
phylogenetic | /,failәjdʒi'netik/ |  | a. 种系发生的, 系统发育的；种系发生的, 种族发育的 |  | technology
voyageur | /,vwɑ:jɑ:'ʒ\\\\:(r)/ | n. | 加拿大的船夫或樵夫, 旅客 |  | economy
tyrannosaurus | /ti.rænә'sɒ:rәs/ | n. | 霸王龙 |  | general
crossroad | /'krɒsrәud/ | n. | 交叉路, 岔道, 十字路口 |  | general
blowfish |  | n. | 河豚 |  | general
hydrophobic | /.haidrә'fәubik/ |  | a. 恐水病的, 狂犬病的, 患恐水病的；狂犬病的, 疏水的 |  | general
molder | /'mәuldә/ | v. | 腐朽, 崩塌；vt. 使腐朽, 使崩塌 |  | general
brucellosis | /.bru:si'lәusis/ | n. | 布鲁氏菌病；波状热, 布鲁氏菌病 |  | health
praxis | /'præksis/ | n. | 习惯, 惯例, 练习, 习题；行为 |  | general
formalin | /'fɒ:mәlin/ | n. | 福尔马林；福尔马林 |  | general
bioremediation | /baɪərmi:d'ɪeɪʃn/ | n. | （利用微生物净化有毒废物场或受污染水域等的） |  | environment
counterrevolution | /kauntәrevә'lu:ʃәn/ | n. | 反革命 |  | general
desertification | /,dezә:tifi'keiʃәn/ | n. | （土壤）荒漠化, 沙漠化 |  | environment
mellon | /'melәn/ |  | 三聚二氰亚胺 |  | economy
marquetry | /'mɑ:kitri/ | n. | 镶嵌细工 |  | general
environmentalism | /in,vaiәrәn'mentlizm/ | n. | 环境保护论, 环境论 |  | environment
yucky | /ˈjʌki/ |  | a. 令人讨厌的, 难以下咽的 |  | general
teakettle | /'ti:.ketl/ | n. | 茶壶, 烧水壶 |  | general
hemorrhagic |  |  | a. 出血；出血的 |  | general
gre |  | abbr. | 美国研究生入学考试（Graduate Rec；地面雷达设备（Ground Radar Eq |  | education
billfish | /'bilfiʃ/ | n. | 长嘴鱼(颚狭长如喙的鱼,如雀鳝等),尖嘴鱼( |  | general
shirtwaist | /'ʃә:tweist/ | n. | 仿男式女衬衫 |  | general
mascarpone | /ˌmæskə'pəʊneɪ/ | n. | <意>马斯卡普尼干酪（一种牛奶软干酪） |  | general
areal | /'εәriәl/ |  | a. 地区的；面积的 |  | general
thermonuclear | /.θә:mәu'nju:kliә/ |  | a. 热核的, 热核武器的 |  | general
lagan | /'læ^әn/ |  | 系有浮标的投海货物 |  | general
synaptic |  |  | a. 突触的, 联合的；接合的, 突触的 |  | general
cookstove | /'kukstәuv/ | n. | 烹调用炉 |  | general
grayness | /'greinis/ | n. | 灰色, 阴暗 |  | general
beachy | /'bi:tʃi/ |  | a. 多沙砾的 |  | general
cottony | /'kɒtәni/ |  | a. 象棉样的, 起毛的, 柔软的；似棉的, 柔软的, 棉的 |  | general
dia |  | abbr. | （美）国防情报局（Defense Intel |  | culture
fandom | /'fændәm/ | n. | 运动迷, 影迷 |  | general
jerkily | /'dʒə:kili/ | adv. | 痉挛性地；颠簸地 |  | general
bioweapon | /'baiəwepən/ | n. | 生物武器 |  | general
marginality | /,mɑ:dʒin'æliti/ |  | 边缘 |  | general
stovepipe | /'stәuvpaip/ | n. | 火炉烟囱, 大礼帽 |  | general
markov |  |  | 马尔可夫 |  | general
britt | /brit/ | n. | 小鲱鱼 |  | general
radiology | /.reidi'ɒlәdʒi/ | n. | 辐射学, 放射学；放射学 |  | health
operant | /'ɔpәrənt/ | n. | 发生作用之人或物, 工作之人或物；a. 动作的 |  | work
gluteus | /glu:'ti:әs/ | n. | 臀肌；臀肌 |  | general
callback | /'kɒ:lbæk/ | n. | 收回 |  | general
challis | /'ʃælis; -li:/ | n. | 一种毛/棉的薄织物 |  | general
impliedly | /-'plaiidli/ | adv. | 隐含地, 言外地 |  | general
sunbelt | /'sʌnbelt/ | n. | 阳光地带（美国南部地区） |  | environment
stratigraphic | /,stræti'^ræfik/ |  | a. 地层学的 |  | general
positivity | /.pɒzi'tiviti/ | n. | 确实, 确信, 肯定性 |  | general
caribou | /'kæribu:/ | n. | 北美驯鹿 |  | general
beveled |  |  | a. 有斜面的 |  | general
osmotic | /ɒz'mɒtik/ |  | a. 渗透的, 渗透性的；渗透的 |  | general
treasonous |  |  | a. 叛逆的, 谋反的, 犯叛国罪的, 涉及 |  | general
silurian | /sai'ljuәriәn, si-/ |  | a. 〈地〉志留纪的 |  | general
neurophysiological |  |  | a. 神经生理学的；神经生理的 |  | general
exculpatory | /eks'kʌlpәtәri/ |  | a. 辩解的, 辩明无罪的；开脱罪责的, 申明无罪的, 昭雪的 |  | general
usability | /.ju:zә'biliti/ | n. | 可用性；工艺性 |  | general
nonlinear | /nɒn'liniә/ |  | a. 非线性的；非线性的 |  | general
diminishment |  |  | 缩减（diminish的变体）；贬低（diminish的变体） |  | general
rwanda | /rj'ændә/ | n. | 卢旺达（东非国家）；卢旺达语 |  | general
gazpacho | /^ɑ:z'pɑ:tʃәu; ^ɑ:θ'pɑ:tʃә u/ | n. | gazpachos 西班牙凉菜汤 |  | general
jong | /jɔŋ/ | n. | 小伙子；（旧时的）青年男奴 |  | general
techno |  |  | 技术 |  | technology
quadrennial | /kwɔ'drenjәl/ |  | a. 连续四年的, 每四年一次的；n. 第四周年 |  | general
adjuvant | /'ædʒuvәnt/ |  | a. 辅助的；n. 佐药, 助手 |  | health
ambulation | /æmbju'leiʃәn/ | n. | 移动, 步行 |  | general
aftereffect | /'ɑ:ftәri.fekt/ | n. | 余波, 后效, 后果 |  | health
hrt |  | abbr. | heart 心脏；high resolution tracke |  | health
